"comuna" "anio" "homicidios" "hurtos" "robo_lugar" "robo_sorpresa" "robo_vehiculo" "robo_violencia" "violacion"
"322" "Copiapó" 2002 2.2 646.2 NA 49.3 NA 200.9 2.9
"323" "Copiapó" 2003 1.4 804.9 953.3 108.7 74.6 286.3 9.2
"324" "Copiapó" 2004 1.4 742.8 662.8 188 31.3 313.3 13.2
"325" "Copiapó" 2005 0.7 632 438.9 153.6 40.3 198.6 16.4
"326" "Copiapó" 2006 1.3 666.7 322.6 116.5 44.8 191.4 12
"327" "Copiapó" 2007 1.3 632.3 405.8 114.2 74.2 244.9 19.7
"328" "Copiapó" 2008 1.9 614.7 262.9 142.4 88.9 283.5 16.8
"329" "Copiapó" 2009 4.4 765.4 370.7 163.2 126.5 363.1 17.1
"330" "Copiapó" 2010 0.6 887 476.4 152.2 125.5 276.4 18
"331" "Copiapó" 2011 1.2 942.8 533.4 217.3 234.9 282.5 23.2
"332" "Copiapó" 2012 1.2 1039.9 532.5 176.9 253.1 282.5 15
"333" "Copiapó" 2013 0.6 850.5 525.2 176.8 188 253.5 14.7
"334" "Copiapó" 2014 1.2 801.1 444 194.2 234.8 320.5 14.5
"335" "Copiapó" 2015 2.3 628.1 458.3 189.8 122.5 275.9 12
"336" "Copiapó" 2016 1.1 601 392.8 153.2 162.7 299.7 15.2
"337" "Caldera" 2001 7.1 627.5 NA 0 NA 7.1 0
"338" "Caldera" 2002 14 776.5 NA 7 NA 70 21
"339" "Caldera" 2003 0 749.9 1305.5 13.9 13.9 69.4 41.7
"340" "Caldera" 2004 0 930.5 875.3 34.5 41.4 137.8 41.4
"341" "Caldera" 2005 0 1142.9 657 41.1 27.4 136.9 20.5
"342" "Caldera" 2006 0 835.7 638.6 13.6 13.6 47.6 20.4
"343" "Caldera" 2007 0 600.7 499.4 67.5 33.7 114.7 0
"344" "Caldera" 2008 0 703.8 556.3 53.6 0 174.3 20.1
"345" "Caldera" 2009 13.3 945 831.9 13.3 53.2 193 20
"346" "Caldera" 2010 0 984.9 1368.2 79.3 19.8 218.1 19.8
"347" "Caldera" 2011 0 1196 1662.6 197.1 59.1 387.7 26.3
"348" "Caldera" 2012 0 1110.6 1777 111.1 143.7 261.3 13.1
"349" "Caldera" 2013 0 1377.1 792.5 90.9 116.9 168.9 6.5
"350" "Caldera" 2014 6.5 1110.5 981.3 200.1 90.4 187.2 0
"351" "Caldera" 2015 0 1085.4 918.4 141.3 109.2 269.7 6.4
"352" "Caldera" 2016 0 978.9 652.6 102.4 134.4 281.5 19.2
"353" "Tierra Amarilla" 2001 0 292.9 NA 15 NA 15 0
"354" "Tierra Amarilla" 2002 0 223.9 NA 0 NA 29.9 0
"355" "Tierra Amarilla" 2003 0 326.7 341.5 7.4 37.1 59.4 0
"356" "Tierra Amarilla" 2004 0 472.6 406.2 36.9 29.5 169.9 14.8
"357" "Tierra Amarilla" 2005 0 433.3 433.3 22 7.3 51.4 14.7
"358" "Tierra Amarilla" 2006 0 373.2 453.6 7.3 29.3 29.3 7.3
"359" "Tierra Amarilla" 2007 7.3 386.3 313.4 21.9 14.6 102 7.3
"360" "Tierra Amarilla" 2008 7.3 377.6 196 21.8 36.3 123.4 29
"361" "Tierra Amarilla" 2009 0 462.8 470 14.5 28.9 173.5 21.7
"362" "Tierra Amarilla" 2010 0 425 367.4 43.2 14.4 93.6 0
"363" "Tierra Amarilla" 2011 7.2 489 359.6 36 50.3 107.9 7.2
"364" "Tierra Amarilla" 2012 0 537.7 250.9 57.4 35.8 57.4 21.5
"365" "Tierra Amarilla" 2013 0 630 307.8 21.5 50.1 43 7.2
"366" "Tierra Amarilla" 2014 7.1 635.3 428.3 50 64.2 157 14.3
"367" "Tierra Amarilla" 2015 0 562.9 263.6 35.6 49.9 114 7.1
"368" "Tierra Amarilla" 2016 7.1 434.9 484.8 57 42.8 99.8 7.1
"369" "Chañaral" 2001 0 159.8 NA 14.5 NA 43.6 21.8
"370" "Chañaral" 2002 7.3 350.9 NA 0 NA 51.2 29.2
"371" "Chañaral" 2003 0 478.5 213.5 7.4 0 58.9 0
"372" "Chañaral" 2004 0 755.8 237.1 14.8 0 66.7 0
"373" "Chañaral" 2005 0 574.2 82 0 7.5 22.4 22.4
"374" "Chañaral" 2006 0 473.9 188.1 0 7.5 52.7 0
"375" "Chañaral" 2007 0 668 242.9 22.8 30.4 129 7.6
"376" "Chañaral" 2008 0 643.2 237.4 0 7.7 137.8 15.3
